 ,,,,,,,,,,,,,,,,,,,,,,
,TODAY,2026. 1. 12,시트 이용 주의사항,,,,,,거래 조건,,,,,,,,구분,단가,미수 (부가세포함),,,
,19,,,,7/16/2025,1138528583,후탄,남양주 디저트 카페,50,7/17/2025,7/24/2025,7,350,https://m.place.naver.com/place/1138528583,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,20,,,,7/16/2025,1138528583,후탄,오남저수지 디저트카페,50,7/17/2025,7/24/2025,7,350,https://m.place.naver.com/place/1138528583,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,29,,,,7/16/2025,1138528583,후탄,남양주 대형카페,50,7/17/2025,7/24/2025,7,350,https://m.place.naver.com/place/1138528583,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,30,,,,7/16/2025,1138528583,후탄,남양주 오남저수지 카페,50,7/17/2025,7/24/2025,7,350,https://m.place.naver.com/place/1138528583,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,21,,,,7/16/2025,36073217,Projec D,동대문 피자 맛집,50,7/17/2025,7/24/2025,7,350,https://m.place.naver.com/place/36073217,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,22,,,,7/16/2025,36073217,Projec D,ddp 피자,50,7/17/2025,7/24/2025,7,350,https://m.place.naver.com/place/36073217,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,23,,,,7/16/2025,1338456648,벙커힐,헤이리 소금빵 맛집,50,7/17/2025,7/24/2025,7,350,https://m.place.naver.com/place/1338456648,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,24,,,,7/16/2025,1338456648,벙커힐,헤이리 대형카페,50,7/17/2025,7/24/2025,7,350,https://m.place.naver.com/place/1338456648,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,25,,,,7/16/2025,1466489325,백채김치찌개 인천도화점,제물포역 점심,50,7/17/2025,7/24/2025,7,350,https://m.place.naver.com/place/1466489325,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,26,,,,7/16/2025,1466489325,백채김치찌개 인천도화점,인천 도화동 김치찌개,50,7/17/2025,7/24/2025,7,350,https://m.place.naver.com/place/1466489325,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,27,,,,7/16/2025,267802526,메종 드 플레터 스타시티서울점,천호역 파스타,50,7/17/2025,7/24/2025,7,350,https://m.place.naver.com/place/267802526,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,28,,,,7/16/2025,267802526,메종 드 플레터 스타시티서울점,천호 스테이크,50,7/17/2025,7/24/2025,7,350,https://m.place.naver.com/place/267802526,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,32,,,,,,,,,,,0,0,https://m.place.naver.com/place/,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,33,,,,7/18,267802526,메종 드 플레터 스타시티서울점,천호역 파스타 맛집,50,7/19/2025,7/24/2025,5,250,https://m.place.naver.com/place/267802526,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,34,,,,7/18,267802526,메종 드 플레터 스타시티서울점,플래터 맛집,50,7/19/2025,7/24/2025,5,250,https://m.place.naver.com/place/267802526,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,35,,,,7/18,1317463665,마츠도 서울역점,서울역 일식라멘,50,7/19/2025,25. 7. 26.,7,350,https://m.place.naver.com/place/1317463665,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,36,,,,7/18,1317463665,마츠도 서울역점,남영동 라멘,50,7/19/2025,25. 7. 26.,7,350,https://m.place.naver.com/place/1317463665,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,37,,,,7/19,1848049619,구명애포항물회 광안리본점,부산 포항물회,50,7/19/2025,25. 7. 26.,7,350,https://m.place.naver.com/place/1848049619,당일,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,38,,,,7/19,1848049619,구명애포항물회 광안리본점,부산 물회,50,7/19/2025,25. 7. 26.,7,350,https://m.place.naver.com/place/1848049619,당일,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,39,,,,7/19,1848049619,구명애포항물회 광안리본점,광안역 횟집,50,7/19/2025,25. 7. 26.,7,350,https://m.place.naver.com/place/1848049619,당일,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,40,,,,7/19,1848049619,구명애포항물회 광안리본점,광안동 횟집,50,7/19/2025,25. 7. 26.,7,350,https://m.place.naver.com/place/1848049619,당일,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,41,,,,7/19,1848049619,구명애포항물회 광안리본점,광안리 구명애,50,7/19/2025,25. 7. 26.,7,350,https://m.place.naver.com/place/1848049619,당일,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,42,,,,,,,,,,,0,0,https://m.place.naver.com/place/,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,43,,,,7/23,267802526,메종 드 플레터 스타시티서울점,천호역 파스타 맛집,50,7/24/2025,7/31/2025,7,350,https://m.place.naver.com/place/267802526,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,44,,,,7/23,267802526,메종 드 플레터 스타시티서울점,플래터 맛집,50,7/24/2025,7/31/2025,7,350,https://m.place.naver.com/place/267802526,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,45,,,,7/23,267802526,메종 드 플레터 스타시티서울점,천호 파스타,50,7/24/2025,7/31/2025,7,350,https://m.place.naver.com/place/267802526,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,46,,,,7/23,267802526,메종 드 플레터 스타시티서울점,천호역 피자,50,7/24/2025,7/31/2025,7,350,https://m.place.naver.com/place/267802526,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,47,,,,,,,,,,,0,0,https://m.place.naver.com/place/,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,2735,,,,8/13/2025,13295492,약손명가 부산서면점,서면 약손명가,50,8/7/2025,8/14/2025,7,350,https://m.place.naver.com/place/13295492,,,FALSE,,FALSE,,,https://m.place.naver.com/place/
,2735,,,,8/13/2025,13295492,약손명가 부산서면점,서면 얼굴관리,50,8/7/2025,8/14/2025,7,350,https://m.place.naver.com/place/13295492,,,FALSE,,FALSE,,,https://m.place.naver.com/place/
,50,,,,,,,,,,,0,0,https://m.place.naver.com/place/,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,51,,,,8/15,35215728,니뽕내뽕 천안신부점,천안터미널 짬뽕,50,8/16/2025,8/23/2025,7,350,https://m.place.naver.com/place/35215728,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,52,,,,8/15,35215728,니뽕내뽕 천안신부점,천안 니뽕내뽕,50,8/16/2025,8/23/2025,7,350,https://m.place.naver.com/place/35215728,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,53,,,,8/15,1165597556,한월 홍대,홍대 한월,50,8/16/2025,8/23/2025,7,350,https://m.place.naver.com/place/1165597556,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,54,,,,8/15,1165597556,한월 홍대,홍대입구역 한식 술집,50,8/16/2025,8/23/2025,7,350,https://m.place.naver.com/place/1165597556,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,55,,,,8/15,893281708,성공식당,팔공산 백숙 맛집,50,8/16/2025,8/23/2025,7,350,https://m.place.naver.com/place/893281708,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,56,,,,8/15,893281708,성공식당,팔공산 성공식당,50,8/16/2025,8/23/2025,7,350,https://m.place.naver.com/place/893281708,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,57,,,,8/15,1770334939,거복이식당 회기 본점,회기역 고기집,50,8/16/2025,8/23/2025,7,350,https://m.place.naver.com/place/1770334939,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,58,,,,8/15,1770334939,거복이식당 회기 본점,회기 거복이,50,8/16/2025,8/23/2025,7,350,https://m.place.naver.com/place/1770334939,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,59,,,,,,,,,,,0,0,https://m.place.naver.com/place/,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,60,,,,8/22,36536114,뻥쟁이네 부천남부역점,부천역 뻥쟁이네 주차,50,2025-08-23,25. 8. 30.,7,350,https://m.place.naver.com/place/36536114,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,61,,,,8/22,36536114,뻥쟁이네 부천남부역점,부천역 삼겹살 맛집,50,2025-08-23,25. 8. 30.,7,350,https://m.place.naver.com/place/36536114,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,62,,,,8/22,1091056146,뻥쟁이네 역곡점,역곡 뻥쟁이네 주차,50,2025-08-23,25. 8. 30.,7,350,https://m.place.naver.com/place/1091056146,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,63,,,,8/22,1091056146,뻥쟁이네 역곡점,역곡 삼겹살 맛집,50,2025-08-23,25. 8. 30.,7,350,https://m.place.naver.com/place/1091056146,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,62,,,,8/22,1814512864,야키토리 리을리을,부천 리을리을,50,2025-08-23,25. 8. 30.,7,350,https://m.place.naver.com/place/1814512864,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,63,,,,8/22,1814512864,야키토리 리을리을,부천 야키토리,50,2025-08-23,25. 8. 30.,7,350,https://m.place.naver.com/place/1814512864,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,64,,,,8/22,1374995918,마르케,논현동 소금빵,50,2025-08-23,25. 8. 30.,7,350,https://m.place.naver.com/place/1374995918,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,65,,,,8/22,1374995918,마르케,강남 마르케 주차,50,2025-08-23,25. 8. 30.,7,350,https://m.place.naver.com/place/1374995918,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,66,,,,8/22,2064392403,오월의 꽃수저,신동 브런치,50,2025-08-23,25. 8. 30.,7,350,https://m.place.naver.com/place/2064392403,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,67,,,,8/22,2064392403,오월의 꽃수저,신동 브런치 맛집,50,2025-08-23,25. 8. 30.,7,350,https://m.place.naver.com/place/2064392403,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,68,,,,8/22,35215728,니뽕내뽕 천안신부점,천안 니뽕내뽕,50,2025-08-23,25. 8. 30.,7,350,https://m.place.naver.com/place/35215728,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,69,,,,8/22,35215728,니뽕내뽕 천안신부점,천안터미널 짬뽕 추천,50,2025-08-23,25. 8. 30.,7,350,https://m.place.naver.com/place/35215728,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,70,,,,8/22,1770334939,거복이식당 회기 본점,회기 거복이,50,2025-08-23,25. 8. 30.,7,350,https://m.place.naver.com/place/1770334939,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,71,,,,8/22,1770334939,거복이식당 회기 본점,회기역 고기집 ,50,2025-08-23,25. 8. 30.,7,350,https://m.place.naver.com/place/1770334939,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,72,,,,,,,,,,,0,0,https://m.place.naver.com/place/,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,73,,,,,36073217,Projec D,동대문 프로젝디,50,,,0,0,https://m.place.naver.com/place/36073217,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,74,,,,,36073217,Projec D,동대문 루프탑,50,,,0,0,https://m.place.naver.com/place/36073217,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,75,,,,,36073217,Projec D,ddp 피자 ,50,,,0,0,https://m.place.naver.com/place/36073217,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,76,,,,,36073217,Projec D,ddp 데이트,50,,,0,0,https://m.place.naver.com/place/36073217,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,77,,,,,2099188087,히도 카츠 합포구직영점,마산 합포구 돈까스,50,,,0,0,https://m.place.naver.com/place/2099188087,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,78,,,,,2099188087,히도 카츠 합포구직영점,마산어시장 돈까스 맛집,50,,,0,0,https://m.place.naver.com/place/2099188087,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,79,,,,,1596131027,돈카츠인정,마곡 돈까스 ,50,,,0,0,https://m.place.naver.com/place/1596131027,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,80,,,,,1338456648,벙커힐,헤이리마을 대형카페,50,,,0,0,https://m.place.naver.com/place/1338456648,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,81,,,,,1338456648,벙커힐,파주 벙커힐,50,,,0,0,https://m.place.naver.com/place/1338456648,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,82,,,,,,,,,,,0,0,https://m.place.naver.com/place/,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,83,,,,8/29/2025,36536114,뻥쟁이네 부천남부역점,부천역 뻥쟁이네 주차,50,8/30/2025,9/6/2025,7,350,https://m.place.naver.com/place/36536114,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,84,,,,8/29/2025,36536114,뻥쟁이네 부천남부역점,부천역 삼겹살 맛집,50,8/30/2025,9/6/2025,7,350,https://m.place.naver.com/place/36536114,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,85,,,,8/29/2025,1091056146,뻥쟁이네 역곡점,역곡 뻥쟁이네 주차,50,8/30/2025,9/6/2025,7,350,https://m.place.naver.com/place/1091056146,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,86,,,,8/29/2025,1091056146,뻥쟁이네 역곡점,역곡 삼겹살 맛집,50,8/30/2025,9/6/2025,7,350,https://m.place.naver.com/place/1091056146,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,87,,,,8/29/2025,1814512864,야키토리 리을리을,부천 리을리을,50,8/30/2025,9/6/2025,7,350,https://m.place.naver.com/place/1814512864,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,88,,,,8/29/2025,1814512864,야키토리 리을리을,부천 야키토리,50,8/30/2025,9/6/2025,7,350,https://m.place.naver.com/place/1814512864,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,,,,,8/29/2025,1029063503,구래동 뻥쟁이네,구래 뻥쟁이네 주차,50,8/30/2025,9/6/2025,7,350,1029063503,,FALSE,,,FALSE,,FALSE,
,,,,,8/29/2025,1029063503,구래동 뻥쟁이네,구래동 삼겹살,50,8/30/2025,9/6/2025,7,350,1029063503,,FALSE,,,FALSE,,FALSE,
,,,,,8/29/2025,465407558,뻥쟁이네 신중동점,신중동 뻥쟁이네 주차,50,8/30/2025,9/6/2025,7,350,465407558,,FALSE,,,FALSE,,FALSE,
,,,,,8/29/2025,465407558,뻥쟁이네 신중동점,신중동역 삼겹살,50,8/30/2025,9/6/2025,7,350,465407558,,FALSE,,,FALSE,,FALSE,
,89,,,,8/29/2025,1374995918,마르케,논현동 소금빵,50,8/30/2025,9/6/2025,7,350,https://m.place.naver.com/place/1374995918,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,90,,,,8/29/2025,1374995918,마르케,마르케 카페 주차,50,8/30/2025,9/6/2025,7,350,https://m.place.naver.com/place/1374995918,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,91,,,,8/29/2025,2064392403,오월의 꽃수저,신동 브런치,50,8/30/2025,9/6/2025,7,350,https://m.place.naver.com/place/2064392403,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,92,,,,8/29/2025,2064392403,오월의 꽃수저,신동 브런치 맛집,50,8/30/2025,9/6/2025,7,350,https://m.place.naver.com/place/2064392403,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,93,,,,8/29/2025,35215728,니뽕내뽕 천안신부점,천안터미널 짬뽕,50,8/30/2025,9/6/2025,7,350,https://m.place.naver.com/place/35215728,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,95,,,,8/29/2025,1770334939,거복이식당 회기 본점,회기역 거복이식당,50,8/30/2025,9/6/2025,7,350,https://m.place.naver.com/place/1770334939,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,96,,,,8/29/2025,1770334939,거복이식당 회기 본점,회기역 삼겹살,50,8/30/2025,9/6/2025,7,350,https://m.place.naver.com/place/1770334939,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,97,,,,8/29/2025,1294147426,비빔상회 본점,경포대 꼬막,50,8/30/2025,9/6/2025,7,350,https://m.place.naver.com/place/1294147426,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,98,,,,8/29/2025,1294147426,비빔상회 본점,강릉 비빔밥 맛집,50,8/30/2025,9/6/2025,7,350,https://m.place.naver.com/place/1294147426,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,99,,,,8/29/2025,36399674,하노이별 공릉점,공릉 쌀국수,50,8/30/2025,9/6/2025,7,350,https://m.place.naver.com/place/36399674,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,100,,,,8/29/2025,37870631,스포애니 신중동점,신중동 스포애니,50,8/30/2025,9/6/2025,7,350,https://m.place.naver.com/place/37870631,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,101,,,,8/29/2025,1514682849,스포애니 봉천동점,봉천동 스포애니,50,8/30/2025,9/6/2025,7,350,https://m.place.naver.com/place/1514682849,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,102,,,,,,,,,,,0,0,https://m.place.naver.com/place/,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,103,,,,9/2/2025,1201249206,퍼스트헤어 서면점,서면 파마 가성비,50,9/3/2025,9/11/2025,8,400,https://m.place.naver.com/place/1201249206,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,104,,,,9/2/2025,1201249206,퍼스트헤어 서면점,서면 퍼스트헤어 미용실,50,9/3/2025,9/11/2025,8,400,https://m.place.naver.com/place/1201249206,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,105,,,,,,,,,,,0,0,https://m.place.naver.com/place/,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,106,,,,9/3/2025,36073217,Projec D,동대문 피자,50,2025-09-04,2025-09-11,7,350,https://m.place.naver.com/place/36073217,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,107,,,,9/3/2025,36073217,Projec D,동대문 테라스 맥주,50,2025-09-04,2025-09-11,7,350,https://m.place.naver.com/place/36073217,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,108,,,,9/3/2025,36073217,Projec D,ddp 루프탑 맥주,50,2025-09-04,2025-09-11,7,350,https://m.place.naver.com/place/36073217,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,109,,,,9/3/2025,36073217,Projec D,ddp 데이트,50,2025-09-04,2025-09-11,7,350,https://m.place.naver.com/place/36073217,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,110,,,,9/3/2025,1768171911,히도,마산 돈까스,50,2025-09-04,2025-09-11,7,350,https://m.place.naver.com/place/1768171911,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,111,,,,9/3/2025,1768171911,히도,히도 돈까스,50,2025-09-04,2025-09-11,7,350,https://m.place.naver.com/place/1768171911,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,112,,,,9/3/2025,2099188087,히도 카츠 합포구직영점,마산어시장 돈까스,50,2025-09-04,2025-09-11,7,350,https://m.place.naver.com/place/2099188087,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,113,,,,9/3/2025,2099188087,히도 카츠 합포구직영점,합포구 돈까스 ,50,2025-09-04,2025-09-11,7,350,#REF!,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,114,,,,9/3/2025,2099188087,히도 카츠 합포구직영점,합포구 히도,50,2025-09-04,2025-09-11,7,350,https://m.place.naver.com/place/2099188087,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,115,,,,9/3/2025,1338456648,벙커힐,헤이리마을 카페,50,2025-09-04,2025-09-11,7,350,https://m.place.naver.com/place/2099188087,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,116,,,,9/3/2025,1338456648,벙커힐,파주 벙커힐,50,2025-09-04,2025-09-11,7,350,https://m.place.naver.com/place/1338456648,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,117,,,,9/3/2025,1338456648,벙커힐,파주카페 벙커힐,50,2025-09-04,2025-09-11,7,350,https://m.place.naver.com/place/1338456648,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,118,,,,9/3/2025,267802526,메종 드 플레터 스타시티서울점,천호 파스타 맛집,50,2025-09-04,2025-09-11,7,350,https://m.place.naver.com/place/267802526,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,119,,,,9/3/2025,267802526,메종 드 플레터 스타시티서울점,한강뷰 레스토랑,50,2025-09-04,2025-09-11,7,350,https://m.place.naver.com/place/267802526,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,120,,,,9/3/2025,1596131027,돈카츠인정,마곡 돈까스,50,2025-09-04,2025-09-11,7,350,https://m.place.naver.com/place/1596131027,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,121,,,,9/3/2025,1596131027,돈카츠인정,마곡 인정돈까스,50,2025-09-04,2025-09-11,7,350,https://m.place.naver.com/place/1596131027,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,122,,,,9/3/2025,36314848,스포애니 상동점,상동 스포애니 헬스장,50,2025-09-04,2025-09-11,7,350,https://m.place.naver.com/place/36314848,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,123,,,,9/3/2025,2044498413,EOC비전센터,도안 안경점,50,2025-09-04,2025-09-11,7,350,https://m.place.naver.com/place/2044498413,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
,124,,,,,,,,,,,0,0,https://m.place.naver.com/place/,,FALSE,FALSE,,FALSE,,,https://m.place.naver.com/place/
